idno,ipcrtiva,impricha,ipeqopta,ipshabta,impsafea,impdiffa,ipfrulea,ipudrsta,ipmodsta,ipgdtima,impfreea,iphlppla,ipsucesa,ipstrgva,ipadvnta,ipbhprpa,iprspota,iplylfra,impenva,imptrada,impfuna
50014,3,5,2,2,2,4,2,2,2,2,2,2,3,2,5,2,2,2,2,3,3
50030,2,4,2,4,4,4,4,2,2,2,2,1,4,2,4,2,4,1,1,4,2
50057,1,4,1,3,2,4,3,1,3,3,2,1,3,2,4,3,3,1,1,3,2
50106,3,4,2,3,1,4,3,3,2,3,2,2,3,3,4,3,3,2,2,2,3
50145,3,4,2,2,2,4,5,2,3,3,2,2,2,2,4,2,2,2,2,2,2
50158,1,2,2,1,2,2,2,2,3,2,2,1,2,1,3,1,2,1,2,2,2
50211,3,4,3,3,2,3,3,3,3,3,3,2,4,3,4,3,3,2,3,3,4
50212,2,6,1,4,3,4,4,3,4,4,2,2,3,4,5,3,3,1,1,3,4
50213,1,3,1,1,1,3,1,1,2,3,1,1,1,1,4,1,1,1,1,1,3
50235,4,4,1,4,1,4,1,1,1,3,1,3,4,1,4,1,5,1,3,3,4
50236,3,4,1,2,1,4,4,1,3,2,1,2,2,1,3,3,2,2,2,3,2
50238,1,4,1,2,1,2,2,1,2,2,1,1,1,1,4,1,2,1,1,1,2
50240,2,3,2,2,1,3,3,3,3,3,1,3,2,1,3,2,2,1,1,2,3
50248,4,4,2,4,2,4,2,4,2,4,4,4,4,2,4,2,4,2,2,2,4
50270,2,4,3,5,1,2,3,2,5,4,2,2,4,3,3,2,3,2,4,3,5
50281,1,6,1,3,1,1,5,2,2,1,1,1,1,1,4,1,88,1,1,88,1
50310,3,5,1,3,3,3,4,2,3,3,3,2,4,3,5,3,4,1,1,2,4
50311,2,3,1,2,1,3,2,1,2,2,1,1,4,1,2,1,2,1,2,1,3
50324,3,5,2,2,1,3,3,2,1,2,1,1,4,3,5,3,3,1,2,5,2
50339,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88
50341,2,2,1,1,1,2,1,1,1,1,1,1,2,2,1,1,4,1,1,1,1
50349,2,3,1,1,2,3,2,2,2,1,1,1,3,1,2,1,2,1,1,1,1
50355,4,3,3,3,2,2,3,3,4,2,2,3,3,2,2,3,2,2,2,4,2
50358,2,77,3,1,1,3,2,2,3,3,1,3,1,1,2,2,2,2,3,2,2
50363,3,4,3,3,4,2,3,3,3,3,2,3,4,4,4,3,3,3,3,3,4
50367,2,6,1,5,1,6,5,2,2,5,2,1,4,88,6,1,1,1,1,2,5
50375,2,4,1,1,1,3,1,1,3,3,1,1,2,1,3,1,1,1,1,1,3
50380,3,3,2,4,2,4,3,2,4,2,2,2,4,2,4,2,2,2,2,2,3
50412,4,4,2,4,2,5,2,3,2,5,2,2,4,2,6,2,2,2,3,3,5
50423,3,4,1,4,2,2,4,2,3,2,1,1,4,1,3,3,3,1,1,4,2
50427,2,4,2,2,2,4,2,3,4,2,2,2,2,2,5,3,2,2,2,2,2
50433,3,4,2,2,2,5,1,2,1,3,1,3,2,1,2,2,2,2,2,2,4
50441,6,6,3,1,1,2,1,2,2,3,1,2,1,1,2,1,1,1,1,2,3
50446,1,5,1,2,1,2,3,2,3,2,1,1,2,1,6,1,1,1,1,5,3
50465,3,6,1,4,4,3,6,2,3,2,1,1,5,3,3,1,2,1,1,6,4
50468,1,3,1,1,1,3,5,2,5,1,1,1,2,1,3,1,1,1,1,1,1
50489,1,2,2,1,3,1,3,3,4,1,1,2,1,2,2,3,2,2,3,3,2
50512,3,6,1,5,1,6,3,2,2,2,1,2,6,2,6,2,4,1,1,2,5
50517,2,6,1,5,2,4,2,1,2,5,2,3,4,3,6,2,3,1,1,1,5
50577,2,2,2,2,1,3,1,2,2,3,2,3,2,1,3,1,1,2,1,1,3
50591,2,3,2,3,1,2,5,2,4,2,1,3,3,1,2,4,4,2,2,3,2
50592,5,6,2,5,1,5,3,3,3,2,2,2,5,2,5,2,2,1,2,2,2
50611,1,3,3,1,1,2,4,2,3,3,2,88,2,2,3,4,3,2,2,4,3
50623,4,6,3,1,1,2,1,1,2,1,2,2,1,1,2,2,1,1,2,1,1
50637,2,4,2,3,1,3,2,3,3,2,2,2,3,2,3,2,2,2,3,3,2
50638,3,3,3,3,2,3,3,4,4,2,1,2,2,2,3,3,3,2,3,4,3
50651,1,4,2,2,3,1,3,2,4,3,2,2,3,4,3,3,3,2,2,4,3
50681,2,2,3,2,2,2,4,2,3,2,2,2,3,2,2,3,3,2,2,2,3
50687,3,3,2,3,3,3,3,3,4,3,4,4,5,4,4,2,4,3,5,4,3
50707,6,5,2,2,2,5,2,5,3,4,5,2,5,2,6,1,5,2,2,5,6
50714,1,1,1,1,1,2,3,1,1,1,2,1,1,1,2,1,1,1,1,1,2
50730,2,2,1,4,2,5,3,2,2,1,1,2,5,2,5,3,2,2,2,2,5
50732,1,3,3,2,1,3,4,1,4,1,2,1,3,2,4,1,1,1,2,6,3
50735,3,3,2,2,2,2,3,2,3,2,2,3,2,1,2,2,2,1,1,3,2
50812,2,4,2,2,2,3,3,2,2,1,1,2,3,2,5,1,2,1,1,1,2
50868,1,1,3,3,1,1,5,6,4,2,1,3,2,1,3,1,2,3,1,4,1
50897,3,6,3,2,1,3,2,4,1,5,3,2,1,1,4,2,3,2,1,2,6
50910,6,6,1,4,1,6,1,2,1,4,1,2,6,1,6,1,1,1,1,6,1
50979,1,4,3,2,1,5,3,2,3,2,2,1,2,1,5,2,2,1,2,3,3
50994,1,4,1,6,1,3,1,1,1,3,1,1,3,1,6,2,4,1,1,2,6
